network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T10:00:00Z,1.97,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T10:45:00Z,14.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T10:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T11:00:00Z,3.4,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T11:00:00Z,2.47,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T11:00:00Z,4.48,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T11:00:00Z,2.21,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T11:45:00Z,18.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T11:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T12:00:00Z,2.79,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T12:00:00Z,2.0,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T12:00:00Z,4.54,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T12:00:00Z,2.29,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T12:45:00Z,21.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T12:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T13:00:00Z,2.96,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T13:00:00Z,1.93,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T13:00:00Z,4.5,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T13:00:00Z,2.31,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T13:45:00Z,14.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T13:45:00Z,6.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T14:00:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T14:00:00Z,2.22,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T14:00:00Z,6.83,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T14:00:00Z,2.34,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T14:45:00Z,20.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T14:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T15:00:00Z,3.05,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T15:00:00Z,2.59,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T15:00:00Z,4.94,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T15:00:00Z,2.5,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T15:45:00Z,20.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T15:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T16:00:00Z,3.12,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T16:00:00Z,2.44,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T16:00:00Z,4.29,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T16:00:00Z,2.8,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T16:45:00Z,20.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T16:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T17:00:00Z,2.71,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T17:00:00Z,2.7,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T17:00:00Z,4.23,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T17:00:00Z,2.26,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T17:45:00Z,18.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T17:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T18:00:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T18:00:00Z,2.4,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T18:00:00Z,4.56,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T18:00:00Z,1.84,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T18:45:00Z,19.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T18:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T19:00:00Z,3.06,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T19:00:00Z,1.89,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T19:00:00Z,4.37,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T19:00:00Z,1.42,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-02T19:45:00Z,13.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-02T19:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-02T20:00:00Z,3.52,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-02T20:00:00Z,1.86,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-02T20:00:00Z,4.24,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-02T20:00:00Z,1.34,1111122 
